generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
315,1666,1667,,,1648,
296,1759,1556,,,1649,
296,1648,1426,,,1463,
314,2574,1667,,,1574,
297,648,1667,,,1426,
315,1649,1445,,,1444,
315,1463,1444,,,1444,
314,649,1630,,,1463,
315,1852,1630,,,1426,
315,1500,1648,,,1815,
296,1612,1648,,,1482,
296,1833,1463,,,1648,
315,1611,1648,,,1667,
315,1611,1389,,,1444,
296,1741,1370,,,1370,
296,630,1648,,,1667,
315,1148,1649,,,1462,
315,1851,1463,,,1482,
315,1741,1574,,,1463,
315,1778,1426,,,1463,
314,1444,1444,,,1426,
315,1444,1444,,,1463,
315,1704,1463,,,1685,
314,1426,1426,,,2814,
315,666,6685,,,6092,
315,1703,1815,,,1445,
297,667,1482,,,1648,
315,2019,1648,,,1574,
315,1444,1667,,,1444,
296,1814,1444,,,1445,
314,1630,1370,,,1444,
315,1833,1667,,,1741,
296,1741,2389,,,1537,
315,1759,1462,,,1445,
315,630,1482,,,1630,
297,1519,1463,,,1556,
315,1833,1463,,,1648,
315,1778,1611,,,1445,
297,1778,1426,,,1537,
296,1778,1463,,,1630,
315,1814,1685,,,1444,
315,1463,2814,,,1426,
314,1722,6092,,,1685,
315,1704,1445,,,1500,
315,686,1648,,,1445,
297,2037,1574,,,1370,
314,611,1444,,,1463,
314,611,1445,,,1648,
315,611,1444,,,3741,
315,1685,1741,,,1426,
297,1482,1537,,,1445,
315,1130,1445,,,1463,
297,1722,1630,,,1797,
315,1722,1556,,,1667,
314,1815,1648,,,1444,
314,2000,1445,,,1426,
314,1741,1537,,,1426,
315,1500,1630,,,1629,
314,611,1444,,,1574,
315,1760,1426,,,1463,
315,648,1685,,,1482,
315,1462,1500,,,1445,
296,1797,1445,,,1685,
297,648,1370,,,1629,
296,1796,1463,,,1630,
297,1093,1648,,,1444,
315,1666,3741,,,1648,
296,1426,1426,,,1444,
296,1870,1445,,,1630,
314,1408,1463,,,1407,
315,1740,1797,,,1463,
315,1704,1667,,,1408,
315,666,1444,,,1500,
315,629,1426,,,1648,
314,611,1426,,,1463,
296,1667,1629,,,1630,
315,1722,1574,,,1408,
314,1925,1463,,,1426,
296,1870,1482,,,2759,
296,1148,1445,,,1463,
315,1741,1685,,,1463,
315,648,1629,,,1426,
315,1593,1630,,,1667,
315,2537,1444,,,1444,
315,1778,1648,,,1462,
315,1944,1444,,,1649,
296,1759,1630,,,1445,
315,1500,1407,,,1555,
296,2463,1463,,,1444,
315,1834,1408,,,1759,
315,1185,1500,,,1463,
296,611,1648,,,1667,
315,1648,1463,,,1444,
315,648,1630,,,1630,
315,1833,1408,,,1648,
315,1111,1426,,,1648,
296,1611,2759,,,1463,
315,1167,1463,,,1389,
314,1870,1463,,,1444,
297,611,1426,,,1426,
297,667,1667,,,1648,
